"ReferenceID","LegalName","ReportingYear","FilingType","FilingStatus","MarketType","ProductName","ProposedRateIncrease","FinalRateIncrease","MemberAffected","DateEffective"
"SHHP-133983608","Sharp Health Plan",2024,"Rate Filing","In Progress","Small Group","3Q2024 SG NGF Rates","6.5","","","07/01/2024"
"UHLC-134000202","UnitedHealthcare Benefits Plan of California",2024,"Rate Filing","In Progress","Small Group","UHG CA INS 202407 UHCBP","8.5","","","07/01/2024"
"UHLC-134000193","UHC of California",2024,"Rate Filing","In Progress","Small Group","UHG CA HMO 202407","4.6","","","07/01/2024"
"BCCA-134013833","California Physicians' Service",2024,"Rate Filing","In Progress","Small Group","Small Group Plans, Q3, 2024","7.9","","","07/01/2024"
"HNLH-133996382","Health Net of California, Inc.",2024,"Rate Filing","In Progress","Small Group","SG Rates 2024 Q3 NG","7.9","","","07/01/2024"
"AETN-133997760","Aetna Health of California Inc.",2024,"Rate Filing","In Progress","Small Group","CA SG 3Q24 AHI","12.5","","","07/01/2024"
"AWLP-134011440","Blue Cross of California",2024,"Rate Filing","In Progress","Small Group","DMHC Small Group Off Exchange 3Q24","7.6","","","07/01/2024"
"UHLC-133573115","UHC of California",2023,"Rate Filing","Completed","Small Group","UHG CA HMO 202307","7.6","7.6","48902","07/01/2023"
"SHHP-133565246","Sharp Health Plan",2023,"Rate Filing","Completed","Small Group","3Q2023 SG NGF Rates","3.5","3.4","23326","07/01/2023"
"AWLP-133569939","Blue Cross of California",2023,"Rate Filing","Completed","Small Group","DMHC Small Group Off Exchange 3Q23","6.7","6.7","442591","07/01/2023"
"HNLH-133578583","Health Net of California, Inc.",2023,"Rate Filing","Completed","Small Group","SG Rates 2023 Q3 ACA (NG)","1.2","1.2","89122","07/01/2023"
"BCCA-133583691","California Physicians' Service",2023,"Rate Filing","Completed","Small Group","Small Group Plans, Q3, 2023","9.1","9.1","472941","07/01/2023"
"AETN-133568324","Aetna Health of California Inc.",2023,"Rate Filing","Completed","Small Group","CA SG 3Q23 AHI","12.4","12.4","24435","07/01/2023"
"UHLC-133692359","UHC of California",2023,"Rate Filing","Completed","Small Group","UHG CA HMO 202310","7.6","7.6","45196","10/01/2023"
"SUTT-133694352","Sutter Health Plan",2023,"Rate Filing","Completed","Small Group","SG_2023_Q4","7.74","7.74","32430","10/01/2023"
"UHLC-133662817","UnitedHealthcare Benefits Plan of California",2023,"Rate Filing","Completed","Small Group","UHG CA INS 202310 UHCBP","2.7","2.7","116328","10/01/2023"
"AWLP-133688406","Blue Cross of California",2023,"Rate Filing","Completed","Small Group","DMHC Small Group Off Exchange 4Q23","7.9","7.9","454436","10/01/2023"
"WNHA-133694599","Western Health Advantage",2023,"Rate Filing","Withdrawn Prior to Determination","Small Group","Small Group 2023 Q4","8.05","","23738","10/01/2023"
"SHHP-133666221","Sharp Health Plan",2023,"Rate Filing","Completed","Small Group","4Q2023 SG NGF Rates","5.0","5.0","22828","10/01/2023"
"SHHP-133683773","Sharp Health Plan",2023,"Rate Filing","Completed","Small Group","Q42023 SG GF Rates","1.3","1.3","792","10/01/2023"
"BCCA-133695761","California Physicians' Service",2023,"Rate Filing","Completed","Small Group","Small Group Plans, Q4, 2023","7.5","7.5","441778","10/01/2023"
"AETN-133697768","Aetna Health of California Inc.",2023,"Rate Filing","Completed","Small Group","CA SG 4Q23 AHI","11.7","11.7","24125","10/01/2023"
